spin,label,empirical_probability,theoretical_probability,absolute_error,seed
10156,17,0.025403702244978336,0.02702702702702703,0.001623324782048692,20260913
10157,17,0.025401201142069507,0.02702702702702703,0.0016258258849575213,20260913
10158,17,0.025398700531600708,0.02702702702702703,0.0016283264954263209,20260913
10159,17,0.02539620041342652,0.02702702702702703,0.001630826613600509,20260913
10160,17,0.025393700787401576,0.02702702702702703,0.0016333262396254523,20260913
10161,17,0.025391201653380574,0.02702702702702703,0.0016358253736464545,20260913
10162,17,0.025388703011218264,0.02702702702702703,0.001638324015808764,20260913
10163,17,0.025386204860769458,0.02702702702702703,0.0016408221662575703,20260913
10164,17,0.02538370720188902,0.02702702702702703,0.0016433198251380073,20260913
10165,17,0.025381210034431875,0.02702702702702703,0.0016458169925951532,20260913
10166,17,0.025378713358253,0.02702702702702703,0.0016483136687740277,20260913
10167,17,0.025376217173207437,0.02702702702702703,0.001650809853819591,20260913
10168,17,0.025373721479150277,0.02702702702702703,0.0016533055478767517,20260913
10169,17,0.02537122627593667,0.02702702702702703,0.001655800751090359,20260913
10170,17,0.02536873156342183,0.02702702702702703,0.0016582954636052,20260913
10171,17,0.025366237341461016,0.02702702702702703,0.001660789685566013,20260913
10172,17,0.025462052693668896,0.02702702702702703,0.001564974333358133,20260913
10173,17,0.025459549788656246,0.02702702702702703,0.0015674772383707826,20260913
10174,17,0.025457047375663455,0.02702702702702703,0.0015699796513635733,20260913
10175,17,0.025454545454545455,0.02702702702702703,0.0015724815724815731,20260913
10176,17,0.025452044025157234,0.02702702702702703,0.0015749830018697945,20260913
10177,17,0.025449543087353838,0.02702702702702703,0.001577483939673191,20260913
10178,17,0.02544704264099037,0.02702702702702703,0.001579984386036657,20260913
10179,17,0.025444542685921997,0.02702702702702703,0.0015824843411050317,20260913
10180,17,0.02544204322200393,0.02702702702702703,0.0015849838050230984,20260913
10181,17,0.025439544249091443,0.02702702702702703,0.0015874827779355852,20260913
10182,17,0.025437045767039874,0.02702702702702703,0.001589981259987154,20260913
10183,17,0.025434547775704607,0.02702702702702703,0.001592479251322422,20260913
10184,17,0.025432050274941085,0.02702702702702703,0.0015949767520859436,20260913
10185,17,0.02542955326460481,0.02702702702702703,0.0015974737624222177,20260913
10186,17,0.025427056744551344,0.02702702702702703,0.0015999702824756844,20260913
10187,17,0.02552272504171984,0.02702702702702703,0.0015043019853071896,20260913
10188,17,0.02561837455830389,0.02702702702702703,0.00140865246872314,20260913
10189,17,0.025615860241436843,0.02702702702702703,0.001411166785590185,20260913
10190,17,0.025613346418056918,0.02702702702702703,0.001413680608970111,20260913
10191,17,0.02561083308801884,0.02702702702702703,0.0014161939390081868,20260913
10192,17,0.025608320251177395,0.02702702702702703,0.0014187067758496333,20260913
10193,17,0.025605807907387423,0.02702702702702703,0.0014212191196396051,20260913
10194,17,0.025603296056503827,0.02702702702702703,0.0014237309705232015,20260913
10195,17,0.02560078469838156,0.02702702702702703,0.0014262423286454697,20260913
10196,17,0.025598273832875638,0.02702702702702703,0.0014287531941513908,20260913
10197,17,0.02559576345984113,0.02702702702702703,0.0014312635671858975,20260913
10198,17,0.025593253579133165,0.02702702702702703,0.0014337734478938637,20260913
10199,17,0.02559074419060692,0.02702702702702703,0.0014362828364201073,20260913
10200,17,0.025588235294117648,0.02702702702702703,0.0014387917329093808,20260913
10201,17,0.025585726889520634,0.02702702702702703,0.0014413001375063947,20260913
10202,17,0.02558321897667124,0.02702702702702703,0.0014438080503557868,20260913
10203,17,0.025580711555424875,0.02702702702702703,0.0014463154716021533,20260913
10204,17,0.025578204625637004,0.02702702702702703,0.0014488224013900243,20260913
10205,17,0.025673689367956883,0.02702702702702703,0.0013533376590701453,20260913
10206,17,0.025671173819321966,0.02702702702702703,0.001355853207705062,20260913
10207,17,0.025668658763593612,0.02702702702702703,0.0013583682634334161,20260913
10208,17,0.025666144200626958,0.02702702702702703,0.0013608828264000707,20260913
10209,17,0.025663630130277205,0.02702702702702703,0.001363396896749823,20260913
10210,17,0.02566111655239961,0.02702702702702703,0.0013659104746274187,20260913
10211,17,0.025658603466849474,0.02702702702702703,0.0013684235601775542,20260913
10212,17,0.02565609087348218,0.02702702702702703,0.0013709361535448501,20260913
10213,17,0.02565357877215314,0.02702702702702703,0.0013734482548738887,20260913
10214,17,0.02565106716271784,0.02702702702702703,0.0013759598643091897,20260913
10215,17,0.025648556045031815,0.02702702702702703,0.001378470981995214,20260913
10216,17,0.025646045418950665,0.02702702702702703,0.0013809816080763634,20260913
10217,17,0.025643535284330037,0.02702702702702703,0.0013834917426969913,20260913
10218,17,0.02564102564102564,0.02702702702702703,0.0013860013860013884,20260913
10219,17,0.02563851648889324,0.02702702702702703,0.00138851053813379,20260913
10220,17,0.02563600782778865,0.02702702702702703,0.0013910191992383796,20260913
10221,17,0.025633499657567754,0.02702702702702703,0.0013935273694592742,20260913
10222,17,0.02563099197808648,0.02702702702702703,0.0013960350489405499,20260913
10223,17,0.025628484789200823,0.02702702702702703,0.0013985422378262058,20260913
10224,17,0.025625978090766822,0.02702702702702703,0.0014010489362602067,20260913
10225,17,0.025623471882640587,0.02702702702702703,0.001403555144386441,20260913
10226,17,0.02562096616467827,0.02702702702702703,0.001406060862348759,20260913
10227,17,0.02561846093673609,0.02702702702702703,0.001408566090290938,20260913
10228,17,0.025615956198670315,0.02702702702702703,0.0014110708283567135,20260913
10229,17,0.025613451950337277,0.02702702702702703,0.001413575076689752,20260913
10230,17,0.025610948191593354,0.02702702702702703,0.0014160788354336748,20260913
10231,17,0.025608444922294984,0.02702702702702703,0.001418582104732044,20260913
10232,17,0.025605942142298672,0.02702702702702703,0.001421084884728356,20260913
10233,17,0.02560343985146096,0.02702702702702703,0.001423587175566069,20260913
10234,17,0.02560093804963846,0.02702702702702703,0.0014260889773885684,20260913
10235,17,0.025598436736687834,0.02702702702702703,0.001428590290339194,20260913
10236,17,0.025595935912465808,0.02702702702702703,0.0014310911145612205,20260913
10237,17,0.025593435576829148,0.02702702702702703,0.0014335914501978804,20260913
10238,17,0.025590935729634695,0.02702702702702703,0.0014360912973923334,20260913
10239,17,0.02558843637073933,0.02702702702702703,0.0014385906562876978,20260913
10240,17,0.0255859375,0.02702702702702703,0.0014410895270270292,20260913
10241,17,0.025583439117273704,0.02702702702702703,0.0014435879097533244,20260913
10242,17,0.025580941222417497,0.02702702702702703,0.0014460858046095315,20260913
10243,17,0.02557844381528849,0.02702702702702703,0.0014485832117385397,20260913
10244,17,0.02557594689574385,0.02702702702702703,0.0014510801312831792,20260913
10245,17,0.0255734504636408,0.02702702702702703,0.0014535765633862281,20260913
10246,17,0.02557095451883662,0.02702702702702703,0.0014560725081904091,20260913
10247,17,0.02556845906118864,0.02702702702702703,0.0014585679658383893,20260913
10248,17,0.025565964090554255,0.02702702702702703,0.0014610629364727734,20260913
10249,17,0.025563469606790908,0.02702702702702703,0.001463557420236121,20260913
10250,17,0.025560975609756096,0.02702702702702703,0.0014660514172709325,20260913
10251,17,0.025558482099307386,0.02702702702702703,0.0014685449277196429,20260913
10252,17,0.02555598907530238,0.02702702702702703,0.0014710379517246484,20260913
10253,17,0.025553496537598752,0.02702702702702703,0.0014735304894282764,20260913
10254,17,0.025551004486054223,0.02702702702702703,0.0014760225409728052,20260913
10255,17,0.025548512920526574,0.02702702702702703,0.0014785141065004545,20260913
10256,17,0.025546021840873633,0.02702702702702703,0.0014810051861533953,20260913
10257,17,0.0255435312469533,0.02702702702702703,0.0014834957800737292,20260913
10258,17,0.025541041138623512,0.02702702702702703,0.0014859858884035161,20260913
10259,17,0.025538551515742275,0.02702702702702703,0.0014884755112847536,20260913
10260,17,0.02553606237816764,0.02702702702702703,0.0014909646488593872,20260913
10261,17,0.025533573725757725,0.02702702702702703,0.0014934533012693034,20260913
10262,17,0.02553108555837069,0.02702702702702703,0.00149594146865634,20260913
10263,17,0.025528597875864756,0.02702702702702703,0.0014984291511622727,20260913
10264,17,0.025526110678098207,0.02702702702702703,0.0015009163489288213,20260913
10265,17,0.02552362396492937,0.02702702702702703,0.0015034030620976573,20260913
10266,17,0.02552113773621664,0.02702702702702703,0.0015058892908103895,20260913
10267,17,0.025518651991818447,0.02702702702702703,0.0015083750352085819,20260913
10268,17,0.0255161667315933,0.02702702702702703,0.0015108602954337289,20260913
10269,17,0.025513681955399745,0.02702702702702703,0.0015133450716272832,20260913
10270,17,0.025511197663096397,0.02702702702702703,0.001515829363930632,20260913
10271,17,0.025508713854541915,0.02702702702702703,0.0015183131724851133,20260913
10272,17,0.025506230529595015,0.02702702702702703,0.0015207964974320136,20260913
10273,17,0.025503747688114475,0.02702702702702703,0.0015232793389125532,20260913
10274,17,0.02550126532995912,0.02702702702702703,0.0015257616970679073,20260913
10275,17,0.025498783454987836,0.02702702702702703,0.0015282435720391924,20260913
10276,17,0.025496302063059556,0.02702702702702703,0.0015307249639674725,20260913
10277,17,0.02549382115403328,0.02702702702702703,0.0015332058729937495,20260913
10278,17,0.02549134072776805,0.02702702702702703,0.00153568629925898,20260913
10279,17,0.02548886078412297,0.02702702702702703,0.0015381662429040585,20260913
10280,17,0.025486381322957198,0.02702702702702703,0.0015406457040698304,20260913
10281,17,0.02548390234412995,0.02702702702702703,0.001543124682897079,20260913
10282,17,0.025481423847500486,0.02702702702702703,0.0015456031795265425,20260913
10283,17,0.025478945832928132,0.02702702702702703,0.0015480811940988964,20260913
10284,17,0.025476468300272267,0.02702702702702703,0.001550558726754761,20260913
10285,17,0.025473991249392317,0.02702702702702703,0.0015530357776347113,20260913
10286,17,0.025471514680147772,0.02702702702702703,0.0015555123468792564,20260913
10287,17,0.02546903859239817,0.02702702702702703,0.001557988434628857,20260913
10288,17,0.02546656298600311,0.02702702702702703,0.001560464041023918,20260913
10289,17,0.025464087860822236,0.02702702702702703,0.0015629391662047923,20260913
10290,17,0.025461613216715258,0.02702702702702703,0.0015654138103117707,20260913
10291,17,0.02545913905354193,0.02702702702702703,0.0015678879734850985,20260913
10292,17,0.025456665371162066,0.02702702702702703,0.0015703616558649623,20260913
10293,17,0.02545419216943554,0.02702702702702703,0.0015728348575914895,20260913
10294,17,0.025451719448222266,0.02702702702702703,0.0015753075788047625,20260913
10295,17,0.025449247207382224,0.02702702702702703,0.0015777798196448048,20260913
10296,17,0.025446775446775448,0.02702702702702703,0.0015802515802515807,20260913
10297,17,0.02544430416626202,0.02702702702702703,0.0015827228607650096,20260913
10298,17,0.025441833365702077,0.02702702702702703,0.0015851936613249518,20260913
10299,17,0.02543936304495582,0.02702702702702703,0.0015876639820712087,20260913
10300,17,0.025436893203883496,0.02702702702702703,0.001590133823143533,20260913
10301,17,0.025434423842345403,0.02702702702702703,0.0015926031846816256,20260913
10302,17,0.025431954960201904,0.02702702702702703,0.0015950720668251248,20260913
10303,17,0.025429486557313405,0.02702702702702703,0.0015975404697136236,20260913
10304,17,0.025427018633540372,0.02702702702702703,0.0016000083934866564,20260913
10305,17,0.02542455118874333,0.02702702702702703,0.0016024758382836984,20260913
10306,17,0.025422084222782845,0.02702702702702703,0.0016049428042441832,20260913
